Number,nces_school_id,school_name,nces_district_id,district_name,date,month,day,year,school_year,year2,time,day_of_week,city,state,school_type,killed,injured,casualties,shooting_type,age_shooter1,gender_shooter1,shooter_relationship1,weapon,weapon_source,county,state_fips,county_fips
1,80480000707,Columbine High School,804800,Jefferson County R-1,4/20/1999,4,20,1999,1998-1999,1999,11:19 am,Tuesday,Littleton,Colorado,public,13,21,34,indiscriminate,18,m,student,"12-gauge Savage-Springfield 67H pump-action shotgun, Hi-Point 995 Carbine 9 mm carbine, 9_19mm Intratec TEC-9 semi-automatic handgun, 12-gauge Stevens 311D double-barreled sawed-off shotgun",purchased from friends,Jefferson County,8,8059
2,2.20054E+11,Scotlandville Middle School,2200540,East Baton Rouge Parish School Board,4/22/1999,4,22,1999,1998-1999,1999,12:30 pm,Thursday,Baton Rouge,Louisiana,public,0,1,1,targeted,14,m,former student (expelled),.22 caliber pistol,,East Baton Rouge Parish,22,22033
3,1.30441E+11,Heritage High School,1304410,Rockdale County,5/20/1999,5,20,1999,1998-1999,1999,8:03 am,Thursday,Conyers,Georgia,public,0,6,6,indiscriminate,15,m,student,".22 caliber rifle, 357-caliber Magnum handgun",,Rockdale County,13,13247
4,4.21899E+11,John Bartram High School,4218990,Philadelphia City SD,10/04/1999,10,4,1999,1999-2000,1999,10:00 am,Monday,Philadelphia,Pennsylvania,public,0,1,1,targeted,17,m,student,RG .25-caliber pistol,purchased from friend,Philadelphia County,42,42101
5,2.50279E+11,Dorchester High School,2502790,Boston,11/03/1999,11,3,1999,1999-2000,1999,7:40 am,Wednesday,Boston,Massachusetts,public,0,1,1,targeted,,m,,,,Suffolk County,25,25025
6,3.50069E+11,Deming Middle School,3500690,Deming Public Schools,11/19/1999,11,19,1999,1999-2000,1999,12:45 pm,Friday,Deming,New Mexico,public,1,0,1,accidental or targeted,12,m,student,.22-caliber Colt revolver,home,Luna County,35,35029
7,4.01197E+11,Fort Gibson Middle School,4011970,Fort Gibson,12/06/1999,12,6,1999,1999-2000,1999,7:45 am,Monday,Fort Gibson,Oklahoma,public,0,5,5,indiscriminate,13,m,student,Taurus 9mm pistol,father,Muskogee County,40,40101
8,1.20153E+11,Ridgewood High School,1201530,Pasco,1/19/2000,1,19,2000,1999-2000,2000,3:00 pm,Wednesday,New Port Richey,Florida,public,1,0,1,accidental,16,m,student,.22-caliber Magnum handgun,stolen,Pasco County,12,12101
9,62460009581,Alicia Reyes Elementary School,624600,Merced City Elementary,1/26/2000,1,26,2000,1999-2000,2000,8:34 am,Wednesday,Merced,California,public,0,0,0,targeted,13,m,no connection,.22 caliber revolver,,Merced County,6,6047
10,1.70993E+11,Duke Ellington Elementary School,1709930,City of Chicago School District 299,2/14/2000,2,14,2000,1999-2000,2000,,Monday,Chicago,Illinois,public,0,1,1,accidental,11,m,student,,,Cook County,17,17031
11,2.80132E+11,Horn Lake High School,2801320,Desoto County School District,2/22/2000,2,22,2000,1999-2000,2000,,Tuesday,Horn Lake,Mississippi,public,0,0,0,targeted,,m,,handgun,,DeSoto County,28,28033
12,4.02961E+11,Tecumseh High School,4029610,Tecumseh,2/24/2000,2,24,2000,1999-2000,2000,9:00 am,Thursday,Tecumseh,Oklahoma,public,0,0,0,targeted,19,m,former boyfriend of student,,,Pottawatomie County,40,40125
13,2.6045E+11,Buell Elementary School,2604500,Beecher Community School District,2/29/2000,2,29,2000,1999-2000,2000,10:00 am,Tuesday,Mount Morris Township,Michigan,public,1,0,1,targeted,6,m,student,.32-caliber semiautomatic handgun,"uncle's friend, found in open shoebox",Genesee County,26,26049
14,4.01521E+11,Hugo High School,4015210,Hugo,04/06/2000,4,6,2000,1999-2000,2000,12:00 pm,Thursday,Hugo,Oklahoma,public,0,1,1,targeted,33,f,parent of student,small-caliber pistol,legally purchased by shooter,Choctaw County,40,40023
15,40146000077,Carmichael Elementary School,401460,Sierra Vista Unified District,05/10/2000,5,10,2000,1999-2000,2000,1:30 pm,Wednesday,Sierra Vista,Arizona,public,1,0,1,targeted,39,m,spouse of teacher,,,Cochise County,4,4003
16,1.2015E+11,Lake Worth Middle School,1201500,Palm Beach County School District,5/26/2000,5,26,2000,1999-2000,2000,3:00 pm,Friday,Lake Worth,Florida,public,1,0,1,targeted,13,m,student,.25-caliber handgun,grandfather,Palm Beach County,12,12099
17,5.30723E+11,Dimmitt Middle School,5307230,Renton,7/17/2000,7,17,2000,1999-2000,2000,10:30 am,Monday,Renton,Washington,public,0,0,0,indiscriminate,13,m,student in summer school,.22-caliber handgun,grandparents,King County,53,53033
18,3.90444E+11,Mount Healthy North Junior High,3904441,Mount Healthy City SD,9/18/2000,9,18,2000,2000-2001,2000,,Monday,Mount Healthy,Ohio,public,0,0,0,indiscriminate,14,m,student,.380-caliber semiautomatic handgun,relatives,Hamilton County,39,39061
19,2.20117E+11,Carter G. Woodson Middle School,2201170,Orleans Parish School Board,9/26/2000,9,26,2000,2000-2001,2000,12:00 pm,Tuesday,New Orleans,Louisiana,public,0,1,1,targeted,13,m,student,.38-caliber revolver,,Orleans Parish,22,22071
20,62927004519,Hueneme High School,629270,Oxnard Union High,01/10/2001,1,10,2001,2000-2001,2001,12:50 pm,Wednesday,Oxnard,California,public,0,0,0,targeted,17,m,not a student but often hung around the school,handgun,,Ventura County,6,6111
21,2.40009E+11,Lake Clifton Eastern High School,2400090,Baltimore City Public Schools,1/17/2001,1,17,2001,2000-2001,2001,8:45 am,Wednesday,Baltimore,Maryland,public,1,0,1,targeted,19,m,none,.32-caliber handgun,,Baltimore City,24,24510
22,4.81623E+11,Pearl C. Anderson Middle School,4816230,Dallas ISD,02/06/2001,2,6,2001,2000-2001,2001,,Tuesday,Dallas,Texas,public,0,1,1,targeted,14,m,student (suspended),small revolver,,Dallas County,48,48113
23,61623002026,Santana High School,616230,Grossmont Union High,03/05/2001,3,5,2001,2000-2001,2001,9:20 am,Monday,Santee,California,public,2,13,15,indiscriminate,15,m,student,.22-caliber revolver,father,San Diego County,6,6073
25,61623002020,Granite Hills High School,616230,Grossmont Union High,3/22/2001,3,22,2001,2000-2001,2001,1:00 pm,Thursday,El Cajon,California,public,0,5,5,targeted and indiscriminate,18,m,student,Mossberg pump-action 12-gauge shotgun,,San Diego County,6,6073
26,1.80387E+11,Lew Wallace High School,1803870,Gary Community School Corp,3/30/2001,3,30,2001,2000-2001,2001,8:15 am,Friday,Gary,Indiana,public,1,0,1,targeted,17,m,former student (expelled),pistol,,Lake County,18,18089
27,2.20108E+11,Monroe City Alternative Center,2201080,City of Monroe School Board,4/20/2001,4,20,2001,2000-2001,2001,7:20 am,Friday,Monroe,Louisiana,public,0,0,0,targeted,14,m,student,.380 caliber semi-automatic pistol,,Ouachita Parish,22,22073
28,4.81854E+11,Ennis High School,4818540,Ennis ISD,5/15/2001,5,15,2001,2000-2001,2001,12:00 pm,Tuesday,Ennis,Texas,public,0,0,0,hostage suicide,16,m,student,.357 Magnum pistol,,Ellis County,48,48139
29,62271007751,Belmont High School,622710,Los Angeles Unified,7/30/2001,7,30,2001,2000-2001,2001,7:20 am,Monday,Los Angeles,California,public,0,1,1,targeted,,m,,revolver,,Los Angeles County,6,6037
30,2.10135E+11,Latonia Elementary School,2101350,Covington Independent,09/12/2001,9,12,2001,2001-2002,2001,3:00 pm,Wednesday,Covington,Kentucky,public,1,0,1,targeted,30,f,parent of student,.380-caliber semiautomatic pistol,,Kenton County,21,21117
31,60003206330,Redondo Union High School,600032,Redondo Beach Unified,10/26/2001,10,26,2001,2001-2002,2001,10:00 am,Friday,Redondo Beach,California,public,0,1,1,accidental,16,m,student,.38-caliber handgun,,Los Angeles County,6,6037
32,2.60804E+11,Caro Learning Center,2608040,Caro Community Schools,11/12/2001,11,12,2001,2001-2002,2001,2:40 pm,Monday,Caro,Michigan,public,0,0,0,targeted,17,m,student,20-guage shotgun,legally purchased by shooter,Tuscola County,26,26157
33,3.62058E+11,"Martin Luther King, Jr. High School",3620580,New York City Public Schools,1/15/2002,1,15,2002,2001-2002,2002,2:00 pm,Tuesday,New York City,New York,public,0,2,2,targeted,17,m,student,Lorcin .380-caliber semiautomatic pistol,illegally purchased,New York County,36,36061
34,62271003034,Gardena High School,622710,Los Angeles Unified,02/06/2002,2,6,2002,2001-2002,2002,2:50 pm,Wednesday,Los Angeles,California,public,0,2,2,targeted,17,m,student,pistol,,Los Angeles County,6,6037
35,2.40051E+11,Benjamin Tasker Middle School,2400510,Prince George's County Public Schools,10/07/2002,10,7,2002,2002-2003,2002,8:09 am,Monday,Bowie,Maryland,public,0,1,1,indiscriminate,,m,none,Bushmaster XM-15 rifle,stolen,Prince George's County,24,24033
36,3.40783E+11,Lincoln High School,3407830,Jersey City,10/29/2002,10,29,2002,2002-2003,2002,8:30 am,Tuesday,Jersey City,New Jersey,public,0,1,1,targeted,15,m,student,Browning .380-caliber pistol,,Hudson County,34,34017
38,4.4009E+11,Mount Pleasant High School,4400900,Providence School District,1/22/2003,1,22,2003,2002-2003,2003,,Wednesday,Providence,Rhode Island,public,0,0,0,targeted,,m,student,22-caliber semi-automatic,,Providence County,44,44007
39,80723001239,Ranum High School,807230,Westminster 50,02/05/2003,2,5,2003,2002-2003,2003,8:40 am,Wednesday,Westminster,Colorado,public,0,0,0,targeted,14,m,student,small semi-automatic handgun,,Adams County,8,8001
40,1.10003E+11,Cardozo High School,1100030,District Of Columbia Pub Schls,04/01/2003,4,1,2003,2002-2003,2003,12:15 pm,Tuesday,Washington,District of Columbia,public,0,1,1,targeted,15,m,student,handgun,,District of Columbia,11,11001
41,2.20117E+11,John McDonogh High School,2201170,Orleans Parish School Board,4/14/2003,4,14,2003,2002-2003,2003,10:30 am,Monday,New Orleans,Louisiana,public,1,3,4,targeted,19,m,none,AK-47 and semiautomatic pistol,,Orleans Parish,22,22071
42,60003907541,Delhi Middle School,600039,Delhi Unified,4/15/2003,4,15,2003,2002-2003,2003,8:15 am,Tuesday,Delhi,California,public,0,1,1,targeted,,m,,handgun,,Merced County,6,6047
43,4.2201E+11,Red Lion Area Junior High School,4220100,Red Lion Area SD,4/24/2003,4,24,2003,2002-2003,2003,7:30 am,Thursday,Red Lion,Pennsylvania,public,1,0,1,targeted,14,m,student,".44-caliber handgun, .22-caliber gun to kill himself",stepfather,York County,42,42133
44,2.80447E+11,Vicksburg High School,2804470,Vicksburg Warren School Dist,09/10/2003,9,10,2003,2003-2004,2003,2:30 pm,Wednesday,Vicksburg,Mississippi,public,1,0,1,targeted,20,m,,handgun,,Warren County,28,28149
45,5.30825E+11,Lewis and Clark High School,5308250,Spokane School District,9/22/2003,9,22,2003,2003-2004,2003,11:10 am,Monday,Spokane,Washington,public,0,0,0,indiscriminate,16,m,student,9 millimeter semiautomatic pistol,home,Spokane County,53,53063
46,2.70944E+11,Rocori High School,2709440,Rocori,9/24/2003,9,24,2003,2003-2004,2003,11:38 am,Wednesday,Cold Spring,Minnesota,public,2,0,2,targeted,15,m,student,.22 caliber pistol,father,Stearns County,27,27145
47,3.7009E+11,Burns Middle School,3700900,Cleveland County Schools,9/25/2003,9,25,2003,2003-2004,2003,8:00 am,Thursday,Lawndale,North Carolina,public,0,0,0,indiscriminate,13,m,student,9mm handgun,,Cleveland County,37,37045
48,61233007702,Rio Cazadero High School,612330,Elk Grove Unified,10/01/2003,10,1,2003,2003-2004,2003,9:00 am,Wednesday,Sacramento,California,public,0,2,2,targeted,,m,multiple officers,officer weapons,police,Sacramento County,6,6067
217,3.70297E+11,East Mecklenburg High School,3702970,Charlotte-Mecklenburg Schools,11/13/2003,11,13,2003,2003-2004,2003,11:45 am,Thursday,Charlotte,North Carolina,public,0,1,1,accidental,15,m,student,.25-caliber handgun,,Mecklenburg County,37,37119
49,1.10003E+11,Ballou High School,1100030,District Of Columbia Pub Schls,02/02/2004,2,2,2004,2003-2004,2004,10:30 am,Monday,Washington,District of Columbia,public,1,1,2,targeted,18,m,student,.380-caliber pistol,puchased by shooter and friends,District of Columbia,11,11001
50,3.60963E+11,Columbia High School,3609630,East Greenbush Central School District,02/09/2004,2,9,2004,2003-2004,2004,10:30 am,Monday,East Greenbush,New York,public,0,1,1,indiscriminate,16,m,student,12-gauge Winchester shotgun,,RENSSELAER,36,36083
51,4.21899E+11,T.M. Peirce Elementary School,4218990,Philadelphia City SD,02/11/2004,2,11,2004,2003-2004,2004,8:30 am,Wednesday,Philadelphia,Pennsylvania,public,1,1,2,targeted,19,m,none,"carbine rifle, assault weapon",,Philadelphia County,42,42101
52,62805012992,Castlemont High School,628050,Oakland Unified,06/09/2004,6,9,2004,2003-2004,2004,12:22 pm,Wednesday,Oakland,California,public,0,2,2,targeted,,,,,,Alameda County,6,6001
53,1.73291E+11,Proviso East High School,1732910,Proviso Twp H S Dist 209,8/30/2004,8,30,2004,2004-2005,2004,2:30 pm,Monday,Maywood,Illinois,public,1,0,1,targeted,,m,none,handgun,,Cook County,17,17031
54,1.80387E+11,Wirt High School,1803870,Gary Community School Corp,9/15/2004,9,15,2004,2004-2005,2004,,Wednesday,Gary,Indiana,public,0,0,0,indiscriminate,,m,student,handgun,,Lake County,18,18089
55,2.40009E+11,Thurgood Marshall High School,2400090,Baltimore City,10/21/2004,10,21,2004,2004-2005,2004,4:00 pm,Thursday,Baltimore,Maryland,public,0,2,2,targeted,16,m,student,handgun,,Baltimore City,24,24510
56,2.20117E+11,Booker T. Washington High School,2201170,Orleans Parish,11/12/2004,11,12,2004,2004-2005,2004,12:00 pm,Friday,New Orleans,Louisiana,public,0,1,1,targeted,28,f,security guard,.38-caliber revolver,department issued,Orleans Parish,22,22071
58,1.73123E+11,Woodruff High School,1731230,Peoria School District 150,1/26/2005,1,26,2005,2004-2005,2005,,Wednesday,Peoria,Illinois,public,0,0,0,targeted,15,m,student,handgun,,Peoria County,17,17143
59,1.70993E+11,Bowen High School,1709930,City Of Chicago School Dist 299,02/08/2005,2,8,2005,2004-2005,2005,2:32 pm,Tuesday,Chicago,Illinois,public,0,1,1,targeted,,,,,,Cook County,17,17031
60,4.70318E+11,Maplewood Comprehensive High School,4703180,Nashville-Davidson County SD,03/09/2005,3,9,2005,2004-2005,2005,2:00 pm,Wednesday,Nashville,Tennessee,public,0,1,1,targeted,16,m,former student (expelled),handgun,,Davidson County,47,47037
61,2.73051E+11,Red Lake High School,2730510,Red Lake,3/21/2005,3,21,2005,2004-2005,2005,2:49 pm,Monday,Red Lake,Minnesota,public,7,7,14,indiscriminate,16,m,former student,".40 caliber Glock 23 pistol, 870 12 gauge pump-action shotgun",grandfather,Beltrami County,27,27007
62,4.81275E+11,Canton High School,4812750,Canton ISD,04/07/2005,4,7,2005,2004-2005,2005,9:20 am,Thursday,Canton,Texas,public,0,1,1,targeted,45,m,father of football player,.45-caliber pistol,legally purchased by shooter,Van Zandt County,48,48467
63,4.22583E+11,Highland Elementary School,4225830,West Shore SD,5/17/2005,5,17,2005,2004-2005,2005,3:00 pm,Tuesday,Lower Allen Township,Pennsylvania,public,1,0,1,targeted,47,m,dating mother of student,9 mm semiautomatic handgun,,Cumberland County,42,42041
64,4.7021E+11,Maury Middle School,4702100,Jefferson County School District,8/25/2005,8,25,2005,2005-2006,2005,9:30 am,Thursday,Jacksboro,Tennessee,public,0,1,1,accidental,14,m,student,".38-caliber Smith & Wesson, .22-caliber handgun",guardian (uncle),Jefferson County,47,47089
65,1.20048E+11,Sojourner Truth High School,1200480,Duval County School District,09/02/2005,9,2,2005,2005-2006,2005,12:50 pm,Friday,Jacksonville,Florida,public,0,1,1,targeted,,m,,handgun,,Duval County,12,12031
66,1.70993E+11,Harlan Community Academy High School,1709930,City Of Chicago Sd 299,9/13/2005,9,13,2005,2005-2006,2005,2:20 pm,Tuesday,Chicago,Illinois,public,0,1,1,targeted,15,m,student,.25-caliber handgun,,Cook County,17,17031
67,2.91191E+11,Farmington High School,2911910,Farmington R-VII,10/11/2005,10,11,2005,2005-2006,2005,8:00 am,Tuesday,Farmington,Missouri,public,0,0,0,indiscriminate,17,m,student,single-shot shotgun,father,St. Francois County,29,29187
68,2.63039E+11,Saginaw High School,2630390,Saginaw City School District,10/20/2005,10,20,2005,2005-2006,2005,12:00 pm,Thursday,Saginaw,Michigan,public,0,1,1,targeted,15,m,student,.380-caliber handgun,stolen,Saginaw County,26,26145
69,4.70042E+11,Campbell County High School,4700420,Campbell County School Distrct,11/08/2005,11,8,2005,2005-2006,2005,2:00 pm,Tuesday,Jacksboro,Tennessee,public,1,2,3,targeted and indiscriminate,15,m,student,.22-caliber pistol,,Campbell County,47,47013
70,2.612E+11,Central High School,2612000,Detroit City School District,12/06/2005,12,6,2005,2005-2006,2005,1:30 pm,Tuesday,Detroit,Michigan,public,0,1,1,indiscriminate,18,m,,,,Wayne County,26,26163
71,5.5096E+11,Mary McLeod Bethune Academy,5509600,Milwaukee Sch Dist,01/11/2006,1,11,2006,2005-2006,2006,12:30 pm,Wednesday,Milwaukee,Wisconsin,public,0,1,1,indiscriminate,18,m,,,,Milwaukee County,55,55079
72,1.20171E+11,Milwee Middle School,1201710,Seminole County School District,1/13/2006,1,13,2006,2005-2006,2006,9:30 am,Friday,Longwood,Florida,public,1,0,1,targeted,,m,SWAT officer,high-powered rifle,police issued,Seminole County,12,12117
73,5.10081E+11,Indian River High School,5100810,Chesapeake City Public Schools,1/18/2006,1,18,2006,2005-2006,2006,11:00 am,Wednesday,Chesapeake,Virginia,public,0,0,0,targeted,19,m,,,,Chesapeake City,51,51550
74,64059009648,Will C. Wood High School,640590,Vacaville Unified,1/23/2006,1,23,2006,2005-2006,2006,9:45 am,Monday,Vacaville,California,public,0,1,1,accidental,14,m,student,small revolver,,Solano County,6,6095
75,4.82034E+11,Lakeview Centennial High School,4820340,Garland ISD,1/27/2006,1,27,2006,2005-2006,2006,,Friday,Garland,Texas,public,0,2,2,accidental,16,m,student,small-caliber semiautomatic handgun,,Dallas County,48,48113
76,4.21917E+11,Westinghouse High School,4219170,Pittsburgh SD,2/21/2006,2,21,2006,2005-2006,2006,7:45 am,Tuesday,Pittsburgh,Pennsylvania,public,0,1,1,targeted,23,m,,AK-47,,Allegheny County,42,42003
77,4.11071E+11,Roseburg High School,4110710,Douglas County SD 4,2/23/2006,2,23,2006,2005-2006,2006,7:45 am,Thursday,Roseburg,Oregon,public,0,1,1,targeted,14,m,student,large-caliber handgun with hollow-point bullets,,Douglas County,41,41019
78,3.20048E+11,Pine Middle School,3200480,Washoe,3/14/2006,3,14,2006,2005-2006,2006,9:00 am,Tuesday,Reno,Nevada,public,0,2,2,indiscriminate,14,m,student,.38-caliber pistol,father,Washoe County,32,32031
79,62271003429,Venice High School,622710,Los Angeles Unified,06/05/2006,6,5,2006,2005-2006,2006,3:10 pm,Monday,Los Angeles,California,public,1,0,1,targeted,21,m,,handgun,,Los Angeles County,6,6037
80,3.70348E+11,Orange High School,3703480,Orange County Schools,8/30/2006,8,30,2006,2006-2007,2006,1:00 pm,Wednesday,Hillsborough,North Carolina,public,0,2,2,indiscriminate,19,m,former student,"9 mm rifle, a Mossburg 12-gauge sawed-off shotgun",,Orange County,37,37135
81,4.8197E+11,South Hills High School,4819700,Fort Worth ISD,09/08/2006,9,8,2006,2006-2007,2006,1:20 pm,Friday,Fort Worth,Texas,public,0,1,1,targeted,,m,resource officer,handgun,police issued weapon,Tarrant County,48,48439
82,80237000087,Platte Canyon High School,802370,"Platte Canyon, School District No. 1, Of The County Of Park",9/27/2006,9,27,2006,2006-2007,2006,11:40 am,Wednesday,Bailey,Colorado,public,1,0,1,targeted,53,m,,".40 S&W caliber Glock 22 pistol, Smith & Wesson .357-caliber revolver",,Park County,8,8093
83,5.51647E+11,Weston High School,5516470,Weston,9/29/2006,9,29,2006,2006-2007,2006,8:10 am,Friday,Cazenovia,Wisconsin,public,1,0,1,targeted,15,m,student,"long-barrel shotgun, 22-pistol",father,Sauk County,55,55111
85,2.91635E+11,Memorial Middle School,2916350,Joplin R-VIII,10/09/2006,10,9,2006,2006-2007,2006,7:45 am,Monday,Joplin,Missouri,public,0,0,0,indiscriminate,13,m,student,MAC 90 7.26 mm assault rifle,parent,Jasper County,29,29097
86,5.3087E+11,Henry Foss High School,5308700,Tacoma School District,01/03/2007,1,3,2007,2006-2007,2007,7:30 am,Wednesday,Tacoma,Washington,public,1,0,1,targeted,18,m,student,handgun,,Peirce County,53,53053
87,3.90438E+11,Robert A. Taft Information Technology High School,3904375,Cincinnati City,01/08/2007,1,8,2007,2006-2007,2007,10:45 am,Monday,Cincinnati,Ohio,public,0,0,0,targeted,16,m,student,,,Hamilton County,39,39061
88,4.21899E+11,William L.Sayre High School,4218990,Philadelphia City SD,1/18/2007,1,18,2007,2006-2007,2007,8:25 am,Thursday,Philadelphia,Pennsylvania,public,0,1,1,targeted,,m,,9 mm semi-automatic Ruger,,Philadelphia County,42,42101
89,2.62382E+11,Herbert Henry Dow High School,2623820,Midland Public Schools,03/07/2007,3,7,2007,2006-2007,2007,10:57 am,Wednesday,Midland,Michigan,public,0,1,1,targeted,17,m,girlfriend was student,.44 caliber handgun,,Midland County,26,26111
90,1.70993E+11,Chicago Vocational Career Academy,1709930,City Of Chicago Sd 299,04/09/2007,4,9,2007,2006-2007,2007,2:30 pm,Monday,Chicago,Illinois,public,0,1,1,accidental,15,m,student,9mm handgun,,Cook County,17,17031
91,4.106E+11,Springwater Trail High School,4106000,Gresham-Barlow Sd 10J,04/10/2007,4,10,2007,2006-2007,2007,2:15 pm,Tuesday,Gresham,Oregon,public,0,10,10,indiscriminate,15,m,student,.270 Winchester rifle with scope,stepfather,Multnomah County,41,41051
92,4.82829E+11,Liberty Memorial Middle School,4828290,Los Fresnos CISD,5/15/2007,5,15,2007,2006-2007,2007,10:00 am,Tuesday,Los Fresnos,Texas,public,0,0,0,indiscriminate,14,m,student,.38 semiautomatic handgun,father,Cameron County,48,48061
93,1.20087E+11,George S. Middleton High School,1200870,Hillsborough,06/06/2007,6,6,2007,2006-2007,2007,12:00 pm,Wednesday,Tampa,Florida,public,0,0,0,targeted,17,m,former student,.22-caliber handgun,,Hillsborough County,12,12057
94,3.90438E+11,SuccessTech Academy,3904378,Cleveland Municipal City,10/10/2007,10,10,2007,2007-2008,2007,1:15 pm,Wednesday,Cleveland,Ohio,public,0,4,4,indiscriminate,14,m,student,".22-caliber revolver, .38-caliber revolver",,Cuyahoga County,39,39035
95,1.30102E+11,Groves High School,1301020,Chatham County,10/15/2007,10,15,2007,2007-2008,2007,2:45 pm,Monday,Garden City,Georgia,public,0,0,0,targeted,,m,,,,Chatham County,13,13051
96,3.70012E+11,Crossroads Charter High School,3700122,Crossroads Charter High,1/16/2008,1,16,2008,2007-2008,2008,10:15 am,Wednesday,Charlotte,North Carolina,public,0,1,1,accidental,16,m,student,,,Mecklenburg County,37,37119
97,4.70294E+11,Hamilton High School,4702940,Memphis City School District,02/04/2008,2,4,2008,2007-2008,2008,10:00 am,Monday,Memphis,Tennessee,public,0,1,1,targeted,16,m,student,380-caliber handgun,,Shelby County,47,47157
99,4.70294E+11,Mitchell High School,4702940,Memphis City School District,02/11/2008,2,11,2008,2007-2008,2008,9:00 am,Monday,Memphis,Tennessee,public,0,1,1,targeted,17,m,student,.22-caliber pistol,purchased from someone in apartment complex,Shelby County,47,47157
100,61785002199,E.O. Green Junior High School,617850,Hueneme Elementary,02/12/2008,2,12,2008,2007-2008,2008,8:15 am,Tuesday,Oxnard,California,public,1,0,1,targeted,14,m,student,.22-caliber handgun,relative,Ventura County,6,6111
